survey version standard standard_catagory shift ZTF-g ZTF-r ZTF-i ZTF-G ZTF-R ZTF-I 
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -30 5.0709 5.4252 5.7239 5.066 5.4291 5.7245
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -30 3.8605 2.9202 2.6542 3.8902 2.9155 2.6538
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -30 8.3928 8.1847 8.2165 8.4009 8.1848 8.2166
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -30 8.1194 8.0515 8.1262 8.125 8.0523 8.1264
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -30 5.1891 4.3663 4.1347 5.2146 4.3622 4.1343
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -30 5.6936 5.8968 6.1504 5.6928 5.9002 6.151
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -30 9.2596 8.8778 8.7557 9.2701 8.8757 8.7555
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -30 8.9612 8.5713 8.4669 8.9737 8.5694 8.4668
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -30 7.6644 7.4437 7.4194 7.6726 7.443 7.4194
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -30 3.3532 3.5971 3.8246 3.3501 3.6 3.8251
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -30 6.4799 5.5104 5.2103 6.5093 5.5053 5.2098
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -30 9.187 8.6281 8.4397 9.204 8.6249 8.4394
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -30 8.6305 6.1735 3.611 8.6576 6.1438 3.6071
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -30 5.4292 4.2149 3.779 5.4626 4.2079 3.7782
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -30 6.7812 6.0058 5.7701 6.8061 6.0018 5.7697
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -30 8.3111 7.6938 7.465 8.3291 7.69 7.4646
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -30 3.5432 3.9648 4.3124 3.5366 3.9693 4.3131
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -30 6.7067 5.6882 5.3769 6.737 5.683 5.3764
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -30 5.77 5.3529 5.2876 5.7844 5.3513 5.2876
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 -30 5.3549 5.348 5.467 5.3586 5.3493 5.4672
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 -30 8.8611 8.1638 7.9256 8.8812 8.1599 7.9252
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 -30 5.5874 5.85 6.0875 5.5844 5.8532 6.088
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 -30 12.3255 12.0244 11.9788 12.3343 12.0232 11.9788
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 -30 5.3423 5.0357 4.9962 5.353 5.0346 4.9962
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 -30 5.5486 5.8861 6.1949 5.544 5.8898 6.1955
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 -30 6.7048 6.8393 7.0099 6.7045 6.8416 7.0102
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 -30 6.4254 5.1361 4.6895 6.4615 5.129 4.6888
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 -30 4.1855 4.3417 4.5405 4.1835 4.344 4.5409
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 -30 4.4714 4.1307 4.0554 4.4834 4.1292 4.0553
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 -30 3.7281 4.0373 4.3198 3.7243 4.0411 4.3203
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 -30 10.5524 10.2409 10.1464 10.5617 10.2392 10.1464
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 -30 10.3753 10.0586 10.0029 10.3852 10.0572 10.0029
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 -30 7.5529 6.9296 6.7737 7.5716 6.9266 6.7735
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 -30 6.435 5.4312 5.1255 6.4655 5.4262 5.125
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 -30 3.6366 4.0127 4.3258 3.6309 4.0164 4.3265
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 -30 8.9906 9.1724 9.3813 8.9896 9.1751 9.3817
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 -30 10.1077 9.6001 9.4423 10.1242 9.5974 9.4421
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 -30 11.3588 9.8669 8.6001 11.3947 9.8535 8.5983
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 -30 9.9131 9.6432 9.5672 9.921 9.6417 9.5672
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 -30 9.2226 8.8022 8.6827 9.2352 8.8001 8.6825
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 -30 2.7978 1.6051 1.209 2.8321 1.5988 1.2083
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 -30 9.6076 9.4817 9.5173 9.6138 9.4819 9.5174
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 -30 6.656 5.3206 4.751 6.6928 5.3124 4.75
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 -30 6.0389 5.2966 5.0754 6.0626 5.2928 5.075
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 -30 8.3657 8.0142 7.9882 8.3783 8.0132 7.9882
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 -30 10.2742 10.4146 10.5486 10.2745 10.4164 10.5489
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 -30 4.4384 4.0638 3.9876 4.4505 4.0622 3.9876
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 -30 4.8907 4.2761 4.1045 4.9103 4.2729 4.1042
