survey version standard standard_catagory shift ZTF-g ZTF-r ZTF-i ZTF-G ZTF-R ZTF-I 
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 15 5.0773 5.4359 5.7316 5.0718 5.4398 5.7322
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 15 3.8105 2.9085 2.648 3.8387 2.904 2.6476
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 15 8.3785 8.1843 8.2184 8.386 8.1843 8.2186
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 15 8.1086 8.0536 8.1289 8.1134 8.0544 8.1291
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 15 5.1466 4.3555 4.1293 5.1708 4.3516 4.129
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 15 5.6919 5.9053 6.1569 5.69 5.9086 6.1574
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 15 9.242 8.8724 8.7528 9.2521 8.8704 8.7527
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 15 8.9415 8.5663 8.4654 8.9536 8.5645 8.4653
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 15 7.6501 7.442 7.4197 7.6577 7.4414 7.4198
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 15 3.3575 3.6051 3.8291 3.354 3.608 3.8295
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 15 6.4293 5.4972 5.2029 6.4571 5.4924 5.2024
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 15 9.1601 8.6199 8.4361 9.1766 8.6168 8.4358
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 15 8.558 6.124 3.5453 8.5905 6.0957 3.5418
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 15 5.3703 4.197 3.7689 5.4022 4.1903 3.7682
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 15 6.7402 5.9952 5.7646 6.7637 5.9914 5.7642
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 15 8.2825 7.6841 7.4604 8.3 7.6805 7.46
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 15 3.5529 3.9769 4.3216 3.5458 3.9813 4.3223
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 15 6.6535 5.6745 5.369 6.6821 5.6696 5.3685
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 15 5.7471 5.3486 5.2871 5.761 5.3471 5.2871
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 15 5.3456 5.3511 5.4708 5.3483 5.3524 5.4711
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 15 8.8284 8.1536 7.921 8.8478 8.1497 7.9206
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 15 5.5888 5.8581 6.0939 5.5847 5.8612 6.0943
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 15 12.3104 12.0213 11.9798 12.3188 12.0202 11.9798
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 15 5.3247 5.0327 4.9965 5.3347 5.0316 4.9965
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 15 5.5544 5.8962 6.2029 5.5492 5.8999 6.2035
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 15 6.7023 6.8454 7.014 6.7011 6.8477 7.0143
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 15 6.3613 5.1182 4.6784 6.3958 5.1114 4.6777
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 15 4.1885 4.3483 4.5462 4.1863 4.3506 4.5466
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 15 4.4522 4.1268 4.0545 4.4636 4.1253 4.0545
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 15 3.731 4.047 4.3274 3.7262 4.0507 4.328
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 15 10.5368 10.2365 10.1453 10.5457 10.2348 10.1453
