survey version standard standard_catagory shift CSP_TAMU_20180316_u CSP_TAMU_20180316_g CSP_TAMU_20180316_r CSP_TAMU_20180316_i CSP_TAMU_20180316_B CSP_TAMU_20180316_V CSP_TAMU_20180316_o CSP_TAMU_20180316_m CSP_TAMU_20180316_n CSP_TAMU_20180316_Y CSP_TAMU_20180316_y 
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -300 -5.705 -5.085 -5.336 -5.627 -5.234 -5.167 -5.173 -5.159 -5.167 -5.361 -5.357
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -300 -7.161 -4.238 -3.074 -2.709 -5.074 -3.570 -3.546 -3.569 -3.570 -1.798 -1.770
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -300 -9.801 -8.556 -8.207 -8.194 -8.908 -8.334 -8.328 -8.330 -8.334 -7.683 -7.674
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -300 -9.669 -8.264 -8.046 -8.092 -8.597 -8.092 -8.089 -8.088 -8.092 -7.598 -7.588
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -300 -8.120 -5.531 -4.502 -4.184 -6.263 -4.947 -4.926 -4.944 -4.947 -3.328 -3.303
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -300 -7.303 -5.785 -5.831 -6.066 -6.050 -5.744 -5.746 -5.736 -5.744 -5.685 -5.681
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -300 -11.531 -9.438 -8.947 -8.782 -9.841 -9.168 -9.158 -9.165 -9.168 -8.035 -8.016
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -300 -10.460 -9.161 -8.636 -8.485 -9.571 -8.852 -8.843 -8.849 -8.852 -7.811 -7.796
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -300 -9.076 -7.823 -7.474 -7.415 -8.168 -7.604 -7.598 -7.600 -7.604 -6.795 -6.779
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -300 -4.549 -3.381 -3.534 -3.752 -3.572 -3.423 -3.427 -3.417 -3.423 -3.343 -3.336
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -300 -9.978 -6.862 -5.671 -5.279 -7.701 -6.195 -6.171 -6.191 -6.195 -4.314 -4.284
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -300 -11.048 -9.437 -8.727 -8.482 -9.947 -9.029 -9.016 -9.026 -9.029 -7.688 -7.668
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -300 -12.887 -9.025 -6.922 -4.461 -9.528 -8.295 -8.234 -8.287 -8.295 -0.608 -0.536
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -300 -9.350 -5.853 -4.426 -3.889 -6.788 -5.090 -5.058 -5.085 -5.090 -2.796 -2.768
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -300 -9.635 -7.114 -6.135 -5.822 -7.827 -6.548 -6.529 -6.546 -6.548 -4.966 -4.942
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -300 -10.235 -8.563 -7.807 -7.520 -9.076 -8.141 -8.126 -8.138 -8.141 -6.705 -6.690
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -300 -3.794 -3.531 -3.860 -4.200 -3.630 -3.659 -3.666 -3.651 -3.659 -4.015 -4.011
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -300 -10.342 -7.100 -5.855 -5.450 -7.960 -6.412 -6.385 -6.406 -6.412 -4.455 -4.425
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -300 -7.530 -6.001 -5.415 -5.292 -6.474 -5.644 -5.633 -5.640 -5.644 -4.684 -4.672
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 -300 -7.041 -5.491 -5.332 -5.418 -5.818 -5.351 -5.349 -5.344 -5.351 -4.943 -4.931
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 -300 -11.021 -9.147 -8.286 -7.982 -9.723 -8.668 -8.651 -8.664 -8.668 -7.154 -7.135
CSP CSP_TAMU_20180316 spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 -300 -6.908 -5.648 -5.790 -6.006 -5.879 -5.663 -5.668 -5.655 -5.663 -5.641 -5.634
