survey version standard standard_catagory shift PS1-g PS1-r PS1-i PS1-z 
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.0765 5.3874 5.6678 5.8437
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 3.7925 2.9553 2.6824 2.5625
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.3749 8.1814 8.2003 8.2494
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.1069 8.0404 8.1033 8.1713
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 5.1314 4.3963 4.1608 4.0566
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.6934 5.866 6.1012 6.2285
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.2329 8.8906 8.7683 8.7046
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 8.9331 8.5825 8.4722 8.4518
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.6451 7.4442 7.4133 7.4276
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.3547 3.5671 3.7857 3.8664
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 6.4112 5.5476 5.2483 5.0995
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 9.149 8.65 8.4591 8.3863
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 8.4937 6.5251 3.9961 2.5315
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 5.3092 4.2695 3.8373 3.6221
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 6.7257 6.0348 5.7976 5.6873
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 8.27 7.7206 7.4915 7.391
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.552 3.9219 4.2472 4.4658
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 6.6343 5.7267 5.4185 5.2542
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 5.7389 5.3615 5.2862 5.2851
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 5.3468 5.3334 5.4359 5.5278
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 8.8146 8.1928 7.952 7.8553
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 5.5915 5.8219 6.0389 6.1799
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 12.3034 12.0295 11.975 12.0043
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 5.3186 5.0406 4.9901 5.0091
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 5.5535 5.8475 6.1381 6.3103
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 6.7023 6.817 6.9747 7.0467
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 6.334 5.1915 4.75 4.5198
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 4.184 4.3158 4.501 4.6406
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 4.4454 4.1383 4.0567 4.0472
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 0 3.7326 4.0023 4.2646 4.4343
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 0 10.53 10.2502 10.1504 10.142
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 0 16.5636 17.0376 17.4244 17.7156
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 0 7.5109 6.9509 6.7854 6.7431
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 0 6.362 5.4684 5.1674 4.9957
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 0 3.6425 3.9735 4.2654 4.4826
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 0 8.9898 9.1454 9.3397 9.433
