survey version standard shift  DES-g DES-r DES-i DES-z 
DES DES g191b2b 0 11.5263 12.1023 12.4993 12.8256
DES DES g191b2b 0 11.5271 12.1034 12.5005 12.8266
DES DES g191b2b 0 11.5262 12.1018 12.4988 12.8251
DES DES g191b2b 0 11.5264 12.1022 12.4992 12.8254
DES DES g191b2b 0 11.5265 12.1023 12.4992 12.8255
DES DES g191b2b 0 11.5269 12.1025 12.4995 12.8259
DES DES g191b2b 0 11.5269 12.1026 12.4997 12.826
DES DES g191b2b 0 11.5268 12.1029 12.5 12.8262
DES DES g191b2b 0 11.5269 12.103 12.5001 12.8264
DES DES g191b2b 0 11.5272 12.1028 12.4998 12.826
DES DES g191b2b 0 11.5269 12.1025 12.4995 12.8258
DES DES g191b2b 0 11.5274 12.103 12.5 12.8263
DES DES g191b2b 0 11.5265 12.1022 12.4991 12.8254
DES DES g191b2b 0 11.5271 12.1032 12.5003 12.8266
DES DES g191b2b 0 11.5262 12.1018 12.4988 12.8251
DES DES g191b2b 0 11.5264 12.102 12.4991 12.8255
DES DES g191b2b 0 11.5264 12.1023 12.4993 12.8255
DES DES g191b2b 0 11.5264 12.1021 12.499 12.8253
DES DES g191b2b 0 11.526 12.1019 12.4989 12.8252
DES DES g191b2b 0 11.5266 12.1024 12.4994 12.8256
DES DES g191b2b 0 11.5265 12.1022 12.4993 12.8256
DES DES g191b2b 0 11.5262 12.1021 12.4992 12.8255
DES DES g191b2b 0 11.5268 12.1024 12.4994 12.8257
DES DES g191b2b 0 11.5266 12.1025 12.4996 12.8259
DES DES g191b2b 0 11.5269 12.1028 12.4998 12.826
DES DES g191b2b 0 11.5267 12.1024 12.4993 12.8256
DES DES g191b2b 0 11.527 12.1029 12.4999 12.8263
DES DES g191b2b 0 11.5268 12.1028 12.4999 12.8263
DES DES g191b2b 0 11.5273 12.1031 12.5002 12.8266
DES DES g191b2b 0 11.527 12.103 12.5 12.8261
DES DES g191b2b 0 11.5264 12.1019 12.4989 12.8254
DES DES g191b2b 0 11.5264 12.1023 12.4994 12.8256
DES DES g191b2b 0 11.5269 12.1028 12.4998 12.826
DES DES g191b2b 0 11.5271 12.1032 12.5003 12.8266
DES DES g191b2b 0 11.5268 12.1026 12.4995 12.8256
DES DES g191b2b 0 11.5267 12.1024 12.4995 12.8259
DES DES g191b2b 0 11.5272 12.1031 12.5001 12.8264
DES DES g191b2b 0 11.5267 12.1025 12.4995 12.8258
DES DES g191b2b 0 11.5269 12.1028 12.4999 12.8261
DES DES g191b2b 0 11.5262 12.1017 12.4986 12.8248
DES DES g191b2b 0 11.5266 12.1024 12.4994 12.8256
DES DES g191b2b 0 11.527 12.1029 12.4999 12.8261
DES DES g191b2b 0 11.5267 12.1026 12.4997 12.826
DES DES g191b2b 0 11.5268 12.1028 12.4998 12.8259
DES DES g191b2b 0 11.5267 12.1025 12.4996 12.8259
DES DES g191b2b 0 11.5265 12.1023 12.4994 12.8256
DES DES g191b2b 0 11.5274 12.1032 12.5003 12.8266
DES DES g191b2b 0 11.526 12.1017 12.4987 12.8249
DES DES g191b2b 0 11.5266 12.1023 12.4993 12.8256
DES DES g191b2b 0 11.5266 12.1023 12.4994 12.8258
DES DES g191b2b 0 11.5269 12.1027 12.4996 12.8257
DES DES g191b2b 0 11.526 12.1016 12.4985 12.8248
DES DES g191b2b 0 11.5258 12.1012 12.498 12.8241
DES DES g191b2b 0 11.5269 12.103 12.5002 12.8266
DES DES g191b2b 0 11.5275 12.1029 12.4998 12.8259
DES DES g191b2b 0 11.5272 12.103 12.5 12.8262
DES DES g191b2b 0 11.5268 12.1026 12.4996 12.8259
DES DES g191b2b 0 11.5261 12.102 12.4989 12.825
DES DES g191b2b 0 11.527 12.1027 12.4996 12.8258
DES DES g191b2b 0 11.5263 12.1019 12.4989 12.8253
DES DES g191b2b 0 11.527 12.1029 12.4999 12.826
DES DES g191b2b 0 11.5263 12.1018 12.4987 12.825
DES DES g191b2b 0 11.5268 12.1024 12.4994 12.8258
DES DES g191b2b 0 11.5272 12.103 12.5 12.8262
DES DES g191b2b 0 11.5266 12.1023 12.4993 12.8256
DES DES g191b2b 0 11.527 12.1026 12.4996 12.826
DES DES g191b2b 0 11.5267 12.1024 12.4993 12.8256
DES DES g191b2b 0 11.5267 12.1022 12.4992 12.8255
DES DES g191b2b 0 11.5268 12.1024 12.4994 12.8258
DES DES g191b2b 0 11.5274 12.1031 12.5 12.8261
DES DES g191b2b 0 11.5274 12.1033 12.5004 12.8266
DES DES g191b2b 0 11.5267 12.1022 12.4992 12.8254
DES DES g191b2b 0 11.5266 12.1026 12.4997 12.8258
DES DES g191b2b 0 11.5265 12.1023 12.4993 12.8256
DES DES g191b2b 0 11.5272 12.1029 12.4999 12.8263
DES DES g191b2b 0 11.5259 12.1016 12.4986 12.8249
DES DES g191b2b 0 11.5275 12.1035 12.5007 12.827
DES DES g191b2b 0 11.5265 12.1025 12.4995 12.8256
DES DES g191b2b 0 11.5265 12.1025 12.4996 12.8259
DES DES g191b2b 0 11.5264 12.1021 12.499 12.8251
DES DES g191b2b 0 11.5274 12.1032 12.5002 12.8265
DES DES g191b2b 0 11.5272 12.103 12.5001 12.8265
DES DES g191b2b 0 11.5265 12.1023 12.4992 12.8254
DES DES g191b2b 0 11.5259 12.1016 12.4985 12.8247
DES DES g191b2b 0 11.5266 12.1021 12.499 12.8253
DES DES g191b2b 0 11.5267 12.1027 12.4998 12.826
DES DES g191b2b 0 11.5265 12.1022 12.4991 12.8252
DES DES g191b2b 0 11.527 12.103 12.5001 12.8263
DES DES g191b2b 0 11.5269 12.1025 12.4995 12.8256
DES DES g191b2b 0 11.5268 12.1027 12.4998 12.8261
DES DES g191b2b 0 11.527 12.1027 12.4996 12.826
DES DES g191b2b 0 11.5259 12.1014 12.4984 12.8248
DES DES g191b2b 0 11.5266 12.1026 12.4997 12.8258
DES DES g191b2b 0 11.5264 12.1024 12.4994 12.8255
DES DES g191b2b 0 11.5266 12.1023 12.4994 12.8258
DES DES g191b2b 0 11.5268 12.1023 12.4991 12.8253
DES DES g191b2b 0 11.5262 12.1023 12.4994 12.8258
DES DES g191b2b 0 11.5272 12.1033 12.5004 12.8266
DES DES gd153 0 13.1224 13.6685 14.0538 14.3756
DES DES gd153 0 13.1228 13.669 14.0539 14.3752
DES DES gd153 0 13.1226 13.6683 14.053 14.3743
DES DES gd153 0 13.1227 13.6677 14.0522 14.3734
DES DES gd153 0 13.1239 13.669 14.0537 14.3752
DES DES gd153 0 13.1225 13.6677 14.0522 14.3732
DES DES gd153 0 13.1215 13.6674 14.0523 14.3737
DES DES gd153 0 13.1233 13.6685 14.053 14.3742
DES DES gd153 0 13.123 13.6681 14.0526 14.3738
DES DES gd153 0 13.1237 13.6681 14.052 14.3729
DES DES gd153 0 13.1223 13.6682 14.0534 14.3752
DES DES gd153 0 13.1237 13.6677 14.0518 14.3728
DES DES gd153 0 13.122 13.6671 14.0517 14.3729
DES DES gd153 0 13.1234 13.6683 14.0526 14.3736
DES DES gd153 0 13.1219 13.6675 14.0523 14.3736
DES DES gd153 0 13.1222 13.668 14.053 14.3745
DES DES gd153 0 13.1223 13.6677 14.0525 14.3737
DES DES gd153 0 13.1228 13.6672 14.0514 14.3726
DES DES gd153 0 13.1218 13.6678 14.0528 14.3742
DES DES gd153 0 13.1222 13.6676 14.0524 14.3739
DES DES gd153 0 13.1223 13.668 14.0531 14.3748
DES DES gd153 0 13.1225 13.668 14.0526 14.3738
DES DES gd153 0 13.1228 13.6676 14.0521 14.3732
DES DES gd153 0 13.1233 13.668 14.0522 14.3731
DES DES gd153 0 13.1223 13.6687 14.0539 14.3755
DES DES gd153 0 13.1225 13.6679 14.0529 14.3746
DES DES gd153 0 13.1234 13.6689 14.0539 14.3756
DES DES gd153 0 13.1222 13.6687 14.0542 14.376
DES DES gd153 0 13.1218 13.6676 14.0528 14.3744
DES DES gd153 0 13.1243 13.6681 14.0519 14.3726
DES DES gd153 0 13.123 13.6686 14.0534 14.3746
DES DES gd153 0 13.1233 13.6684 14.0527 14.3735
DES DES gd153 0 13.1239 13.6685 14.0528 14.3737
DES DES gd153 0 13.1222 13.6678 14.0524 14.3735
DES DES gd153 0 13.1226 13.6675 14.052 14.3732
DES DES gd153 0 13.123 13.6682 14.0527 14.374
DES DES gd153 0 13.1221 13.6673 14.0519 14.3731
DES DES gd153 0 13.1232 13.6683 14.0529 14.374
DES DES gd153 0 13.123 13.6688 14.0536 14.3748
DES DES gd153 0 13.1221 13.6677 14.0525 14.3739
DES DES gd153 0 13.123 13.6681 14.0527 14.3739
DES DES gd153 0 13.1223 13.667 14.0514 14.3725
DES DES gd153 0 13.1222 13.6678 14.0525 14.3737
DES DES gd153 0 13.1232 13.6686 14.0534 14.3747
DES DES gd153 0 13.1227 13.6685 14.0534 14.3748
DES DES gd153 0 13.1231 13.6686 14.0532 14.3743
DES DES gd153 0 13.1243 13.6688 14.0529 14.3737
DES DES gd153 0 13.1225 13.668 14.0527 14.3742
DES DES gd153 0 13.1232 13.6686 14.0533 14.3745
DES DES gd153 0 13.1227 13.6677 14.0523 14.3736
DES DES gd153 0 13.1221 13.6681 14.0531 14.3743
DES DES gd153 0 13.1227 13.6679 14.0524 14.3735
DES DES gd153 0 13.1224 13.6677 14.0524 14.3737
DES DES gd153 0 13.1227 13.6686 14.0535 14.3749
DES DES gd153 0 13.123 13.6685 14.0533 14.3746
DES DES gd153 0 13.123 13.6683 14.0527 14.3735
DES DES gd153 0 13.1229 13.6686 14.0535 14.3752
DES DES gd153 0 13.1218 13.668 14.0532 14.3747
DES DES gd153 0 13.1225 13.6679 14.0524 14.3735
DES DES gd153 0 13.1225 13.668 14.053 14.3746
DES DES gd153 0 13.122 13.6675 14.0522 14.3733
DES DES gd153 0 13.1228 13.6677 14.0523 14.3737
DES DES gd153 0 13.1227 13.6686 14.0535 14.375
DES DES gd153 0 13.1225 13.6682 14.0529 14.374
DES DES gd153 0 13.1225 13.6683 14.0531 14.3743
DES DES gd153 0 13.1233 13.6688 14.0534 14.3745
DES DES gd153 0 13.1233 13.6683 14.0527 14.3738
DES DES gd153 0 13.122 13.668 14.0529 14.3743
DES DES gd153 0 13.1215 13.6676 14.0526 14.3739
DES DES gd153 0 13.1233 13.6684 14.0528 14.3739
DES DES gd153 0 13.123 13.6676 14.0518 14.3727
DES DES gd153 0 13.1225 13.6683 14.0532 14.3746
DES DES gd153 0 13.1223 13.6679 14.0527 14.374
DES DES gd153 0 13.1228 13.6682 14.053 14.3745
DES DES gd153 0 13.1235 13.6691 14.0537 14.3746
DES DES gd153 0 13.123 13.6677 14.0522 14.3735
DES DES gd153 0 13.1215 13.6678 14.053 14.3746
DES DES gd153 0 13.1216 13.6675 14.0526 14.3743
DES DES gd153 0 13.1239 13.6689 14.0533 14.3744
DES DES gd153 0 13.1227 13.6685 14.0534 14.3748
DES DES gd153 0 13.1216 13.6676 14.0528 14.3744
DES DES gd153 0 13.1236 13.6689 14.0535 14.3747
DES DES gd153 0 13.1229 13.6685 14.0532 14.3745
DES DES gd153 0 13.1232 13.6683 14.053 14.3742
DES DES gd153 0 13.122 13.6674 14.052 14.373
DES DES gd153 0 13.1235 13.6689 14.0534 14.3747
DES DES gd153 0 13.1222 13.6679 14.0527 14.3738
DES DES gd153 0 13.1232 13.6689 14.0536 14.3747
DES DES gd153 0 13.1233 13.6683 14.0527 14.374
DES DES gd153 0 13.1222 13.6677 14.0526 14.3743
DES DES gd153 0 13.1233 13.6683 14.0525 14.3732
DES DES gd153 0 13.1227 13.6681 14.0528 14.374
DES DES gd153 0 13.1235 13.6684 14.0527 14.3739
DES DES gd153 0 13.123 13.6679 14.0523 14.3735
DES DES gd153 0 13.123 13.6686 14.0531 14.3741
DES DES gd153 0 13.1236 13.6683 14.0527 14.3737
DES DES gd153 0 13.1228 13.6682 14.0529 14.3744
DES DES gd153 0 13.1226 13.6685 14.0535 14.3751
DES DES gd71 0 12.8182 13.3453 13.723 14.0422
DES DES gd71 0 12.8177 13.3451 13.7228 14.042
DES DES gd71 0 12.8177 13.3445 13.7218 14.0406
DES DES gd71 0 12.8194 13.346 13.7233 14.0422
DES DES gd71 0 12.8187 13.3456 13.723 14.042
DES DES gd71 0 12.8182 13.3452 13.7227 14.0416
DES DES gd71 0 12.8185 13.3455 13.7231 14.0422
DES DES gd71 0 12.819 13.3454 13.7225 14.0412
DES DES gd71 0 12.8182 13.3448 13.722 14.0407
DES DES gd71 0 12.8189 13.3454 13.7226 14.0414
DES DES gd71 0 12.8178 13.3451 13.7228 14.0418
DES DES gd71 0 12.8194 13.3457 13.7227 14.0413
DES DES gd71 0 12.8183 13.3446 13.7216 14.0403
DES DES gd71 0 12.8184 13.3451 13.7226 14.0415
DES DES gd71 0 12.8187 13.345 13.7221 14.0408
DES DES gd71 0 12.8184 13.3447 13.7219 14.0409
DES DES gd71 0 12.8182 13.3446 13.7218 14.0408
DES DES gd71 0 12.8182 13.3453 13.7228 14.0415
DES DES gd71 0 12.8181 13.3444 13.7216 14.0405
DES DES gd71 0 12.8181 13.3451 13.7226 14.0415
DES DES gd71 0 12.819 13.3453 13.7223 14.041
DES DES gd71 0 12.8183 13.3453 13.7228 14.0417
DES DES gd71 0 12.8187 13.3451 13.7223 14.0412
DES DES gd71 0 12.8173 13.3443 13.7218 14.0407
DES DES gd71 0 12.819 13.3458 13.7231 14.042
DES DES gd71 0 12.8197 13.346 13.7231 14.0418
DES DES gd71 0 12.8184 13.3448 13.7219 14.0406
DES DES gd71 0 12.8195 13.3455 13.7225 14.0413
DES DES gd71 0 12.8195 13.3461 13.7233 14.0419
DES DES gd71 0 12.8189 13.3453 13.7225 14.0413
DES DES gd71 0 12.8178 13.3449 13.7225 14.0414
DES DES gd71 0 12.8188 13.3459 13.7234 14.0425
DES DES gd71 0 12.8176 13.3447 13.7224 14.0418
DES DES gd71 0 12.8192 13.3458 13.7232 14.0422
DES DES gd71 0 12.8179 13.3446 13.7217 14.0403
DES DES gd71 0 12.8193 13.346 13.7234 14.0422
DES DES gd71 0 12.8185 13.3448 13.722 14.0408
DES DES gd71 0 12.8185 13.3448 13.7219 14.0407
DES DES gd71 0 12.8185 13.3454 13.723 14.0421
DES DES gd71 0 12.8187 13.3454 13.7225 14.041
DES DES gd71 0 12.8185 13.345 13.7222 14.041
DES DES gd71 0 12.8181 13.3446 13.7218 14.0406
DES DES gd71 0 12.818 13.3446 13.7218 14.0405
DES DES gd71 0 12.8185 13.3458 13.7235 14.0425
DES DES gd71 0 12.8195 13.3453 13.7221 14.0408
DES DES gd71 0 12.8176 13.3443 13.7216 14.0404
DES DES gd71 0 12.8189 13.3455 13.7227 14.0414
DES DES gd71 0 12.8185 13.3454 13.7228 14.0417
DES DES gd71 0 12.8185 13.345 13.7222 14.0409
DES DES gd71 0 12.8189 13.3454 13.7226 14.0415
