survey version standard shift  PS1SN-g PS1SN-r PS1SN-i PS1SN-z 
PS1SN PS1SN g191b2b 0 11.547 12.0338 12.4269 12.7196
PS1SN PS1SN g191b2b 0 11.5478 12.0349 12.4281 12.7208
PS1SN PS1SN g191b2b 0 11.5468 12.0333 12.4263 12.7192
PS1SN PS1SN g191b2b 0 11.547 12.0338 12.4268 12.7195
PS1SN PS1SN g191b2b 0 11.5471 12.0338 12.4268 12.7196
PS1SN PS1SN g191b2b 0 11.5475 12.0341 12.4271 12.7199
PS1SN PS1SN g191b2b 0 11.5475 12.0342 12.4273 12.7201
PS1SN PS1SN g191b2b 0 11.5475 12.0344 12.4275 12.7203
PS1SN PS1SN g191b2b 0 11.5476 12.0345 12.4277 12.7204
PS1SN PS1SN g191b2b 0 11.5478 12.0344 12.4274 12.7201
PS1SN PS1SN g191b2b 0 11.5475 12.0341 12.4271 12.7199
PS1SN PS1SN g191b2b 0 11.548 12.0346 12.4276 12.7204
PS1SN PS1SN g191b2b 0 11.5471 12.0337 12.4267 12.7195
PS1SN PS1SN g191b2b 0 11.5477 12.0347 12.4279 12.7206
PS1SN PS1SN g191b2b 0 11.5468 12.0334 12.4264 12.7191
PS1SN PS1SN g191b2b 0 11.547 12.0335 12.4266 12.7195
PS1SN PS1SN g191b2b 0 11.547 12.0338 12.4269 12.7196
PS1SN PS1SN g191b2b 0 11.547 12.0336 12.4266 12.7194
PS1SN PS1SN g191b2b 0 11.5466 12.0334 12.4265 12.7193
PS1SN PS1SN g191b2b 0 11.5472 12.0339 12.427 12.7197
PS1SN PS1SN g191b2b 0 11.5471 12.0338 12.4269 12.7197
PS1SN PS1SN g191b2b 0 11.5468 12.0336 12.4267 12.7196
PS1SN PS1SN g191b2b 0 11.5474 12.0339 12.4269 12.7198
PS1SN PS1SN g191b2b 0 11.5472 12.034 12.4272 12.72
PS1SN PS1SN g191b2b 0 11.5475 12.0344 12.4274 12.7201
PS1SN PS1SN g191b2b 0 11.5473 12.0339 12.4269 12.7197
PS1SN PS1SN g191b2b 0 11.5476 12.0344 12.4275 12.7203
