survey version standard shift  PS1-g PS1-r PS1-i PS1-z 
PS1 PS1 g191b2b 0 11.5141 12.0158 12.4159 12.7106
PS1 PS1 g191b2b 0 11.5149 12.0169 12.4171 12.7118
PS1 PS1 g191b2b 0 11.5139 12.0153 12.4153 12.7102
PS1 PS1 g191b2b 0 11.5141 12.0158 12.4158 12.7105
PS1 PS1 g191b2b 0 11.5142 12.0158 12.4158 12.7106
PS1 PS1 g191b2b 0 11.5146 12.0161 12.4161 12.7109
PS1 PS1 g191b2b 0 11.5146 12.0162 12.4163 12.7111
PS1 PS1 g191b2b 0 11.5145 12.0164 12.4165 12.7113
PS1 PS1 g191b2b 0 11.5147 12.0165 12.4167 12.7114
PS1 PS1 g191b2b 0 11.5149 12.0164 12.4164 12.7111
PS1 PS1 g191b2b 0 11.5146 12.0161 12.4161 12.7109
PS1 PS1 g191b2b 0 11.5151 12.0166 12.4166 12.7114
PS1 PS1 g191b2b 0 11.5142 12.0157 12.4157 12.7105
PS1 PS1 g191b2b 0 11.5148 12.0167 12.4169 12.7116
PS1 PS1 g191b2b 0 11.514 12.0154 12.4154 12.7101
PS1 PS1 g191b2b 0 11.5141 12.0155 12.4156 12.7105
PS1 PS1 g191b2b 0 11.5141 12.0158 12.4159 12.7106
PS1 PS1 g191b2b 0 11.5141 12.0156 12.4156 12.7104
PS1 PS1 g191b2b 0 11.5137 12.0154 12.4155 12.7103
PS1 PS1 g191b2b 0 11.5144 12.0159 12.416 12.7107
PS1 PS1 g191b2b 0 11.5142 12.0158 12.4159 12.7107
PS1 PS1 g191b2b 0 11.514 12.0156 12.4157 12.7106
PS1 PS1 g191b2b 0 11.5145 12.0159 12.4159 12.7108
PS1 PS1 g191b2b 0 11.5143 12.016 12.4162 12.711
PS1 PS1 g191b2b 0 11.5146 12.0164 12.4164 12.7111
PS1 PS1 g191b2b 0 11.5145 12.0159 12.4159 12.7107
PS1 PS1 g191b2b 0 11.5148 12.0164 12.4165 12.7113
PS1 PS1 g191b2b 0 11.5145 12.0163 12.4165 12.7113
PS1 PS1 g191b2b 0 11.515 12.0167 12.4168 12.7116
PS1 PS1 g191b2b 0 11.5148 12.0165 12.4166 12.7113
PS1 PS1 g191b2b 0 11.5142 12.0154 12.4155 12.7104
PS1 PS1 g191b2b 0 11.5142 12.0159 12.416 12.7107
PS1 PS1 g191b2b 0 11.5146 12.0163 12.4164 12.7111
PS1 PS1 g191b2b 0 11.5148 12.0167 12.4169 12.7117
PS1 PS1 g191b2b 0 11.5145 12.0162 12.4162 12.7108
PS1 PS1 g191b2b 0 11.5144 12.0159 12.4161 12.7109
PS1 PS1 g191b2b 0 11.5149 12.0166 12.4167 12.7115
PS1 PS1 g191b2b 0 11.5144 12.0161 12.4161 12.7109
PS1 PS1 g191b2b 0 11.5146 12.0164 12.4165 12.7112
PS1 PS1 g191b2b 0 11.5139 12.0152 12.4152 12.7099
PS1 PS1 g191b2b 0 11.5143 12.016 12.416 12.7107
PS1 PS1 g191b2b 0 11.5147 12.0164 12.4165 12.7112
PS1 PS1 g191b2b 0 11.5145 12.0161 12.4163 12.7111
PS1 PS1 g191b2b 0 11.5146 12.0163 12.4164 12.711
PS1 PS1 g191b2b 0 11.5144 12.016 12.4161 12.7109
PS1 PS1 g191b2b 0 11.5143 12.0159 12.416 12.7107
PS1 PS1 g191b2b 0 11.5152 12.0167 12.4168 12.7117
PS1 PS1 g191b2b 0 11.5137 12.0152 12.4153 12.71
PS1 PS1 g191b2b 0 11.5143 12.0159 12.4159 12.7107
PS1 PS1 g191b2b 0 11.5144 12.0158 12.416 12.7109
PS1 PS1 g191b2b 0 11.5147 12.0163 12.4163 12.7108
PS1 PS1 g191b2b 0 11.5137 12.0151 12.4151 12.7099
PS1 PS1 g191b2b 0 11.5135 12.0148 12.4146 12.7093
PS1 PS1 g191b2b 0 11.5147 12.0165 12.4167 12.7116
PS1 PS1 g191b2b 0 11.5152 12.0165 12.4164 12.711
PS1 PS1 g191b2b 0 11.5149 12.0165 12.4166 12.7113
PS1 PS1 g191b2b 0 11.5145 12.0162 12.4162 12.711
PS1 PS1 g191b2b 0 11.5138 12.0155 12.4156 12.7102
PS1 PS1 g191b2b 0 11.5147 12.0162 12.4162 12.7109
PS1 PS1 g191b2b 0 11.514 12.0154 12.4155 12.7103
PS1 PS1 g191b2b 0 11.5148 12.0165 12.4165 12.7111
PS1 PS1 g191b2b 0 11.514 12.0153 12.4153 12.7101
PS1 PS1 g191b2b 0 11.5145 12.0159 12.416 12.7109
PS1 PS1 g191b2b 0 11.5149 12.0166 12.4166 12.7113
PS1 PS1 g191b2b 0 11.5143 12.0158 12.4159 12.7107
PS1 PS1 g191b2b 0 11.5148 12.0161 12.4162 12.7111
PS1 PS1 g191b2b 0 11.5144 12.0159 12.4159 12.7107
PS1 PS1 g191b2b 0 11.5144 12.0157 12.4158 12.7106
PS1 PS1 g191b2b 0 11.5145 12.0159 12.416 12.7108
PS1 PS1 g191b2b 0 11.5151 12.0167 12.4166 12.7113
PS1 PS1 g191b2b 0 11.5151 12.0168 12.417 12.7117
PS1 PS1 g191b2b 0 11.5144 12.0158 12.4158 12.7105
PS1 PS1 g191b2b 0 11.5144 12.0162 12.4163 12.711
PS1 PS1 g191b2b 0 11.5142 12.0159 12.4159 12.7107
PS1 PS1 g191b2b 0 11.5149 12.0164 12.4165 12.7114
PS1 PS1 g191b2b 0 11.5136 12.0151 12.4152 12.71
PS1 PS1 g191b2b 0 11.5152 12.0171 12.4173 12.7121
PS1 PS1 g191b2b 0 11.5143 12.016 12.4161 12.7107
PS1 PS1 g191b2b 0 11.5142 12.016 12.4161 12.711
PS1 PS1 g191b2b 0 11.5141 12.0156 12.4156 12.7103
PS1 PS1 g191b2b 0 11.5151 12.0167 12.4168 12.7116
PS1 PS1 g191b2b 0 11.5149 12.0165 12.4167 12.7115
PS1 PS1 g191b2b 0 11.5142 12.0158 12.4158 12.7105
PS1 PS1 g191b2b 0 11.5137 12.0152 12.4151 12.7098
PS1 PS1 g191b2b 0 11.5143 12.0157 12.4156 12.7104
PS1 PS1 g191b2b 0 11.5144 12.0163 12.4164 12.7111
PS1 PS1 g191b2b 0 11.5142 12.0158 12.4157 12.7104
PS1 PS1 g191b2b 0 11.5147 12.0166 12.4167 12.7114
PS1 PS1 g191b2b 0 11.5146 12.0161 12.4161 12.7107
PS1 PS1 g191b2b 0 11.5145 12.0163 12.4164 12.7111
PS1 PS1 g191b2b 0 11.5147 12.0162 12.4162 12.711
PS1 PS1 g191b2b 0 11.5136 12.0149 12.4149 12.7098
PS1 PS1 g191b2b 0 11.5143 12.0162 12.4163 12.7109
PS1 PS1 g191b2b 0 11.5142 12.016 12.416 12.7106
PS1 PS1 g191b2b 0 11.5143 12.0158 12.4159 12.7108
PS1 PS1 g191b2b 0 11.5145 12.0158 12.4157 12.7104
PS1 PS1 g191b2b 0 11.5139 12.0158 12.416 12.7108
PS1 PS1 g191b2b 0 11.5149 12.0168 12.417 12.7117
PS1 PS1 g191b2b 0 11.5148 12.0167 12.4169 12.7116
PS1 PS1 g191b2b 0 11.5142 12.0161 12.4162 12.711
PS1 PS1 gd153 0 13.1093 13.5837 13.9715 14.2626
PS1 PS1 gd153 0 13.1098 13.5842 13.9717 14.2623
PS1 PS1 gd153 0 13.1096 13.5835 13.9708 14.2614
PS1 PS1 gd153 0 13.1096 13.583 13.9701 14.2605
PS1 PS1 gd153 0 13.1109 13.5842 13.9715 14.2622
