survey version standard shift  SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS g191b2b 0 11.4695 12.0003 12.388 12.7375 11.4753 12.0003 12.388 12.7375
SDSS SDSS g191b2b 0 11.4685 11.9996 12.3874 12.7369 11.4743 11.9996 12.3874 12.7369
SDSS SDSS g191b2b 0 11.4686 11.9987 12.3862 12.7357 11.4743 11.9987 12.3862 12.7357
SDSS SDSS g191b2b 0 11.4694 11.9997 12.3872 12.7366 11.4752 11.9997 12.3872 12.7366
SDSS SDSS g191b2b 0 11.4688 11.999 12.3865 12.7358 11.4745 11.999 12.3865 12.7358
SDSS SDSS g191b2b 0 11.4698 12.0008 12.3887 12.7383 11.4756 12.0008 12.3887 12.7383
SDSS SDSS g191b2b 0 11.4686 11.999 12.3865 12.7359 11.4744 11.999 12.3865 12.7359
SDSS SDSS g191b2b 0 11.4699 12.0013 12.3893 12.7389 11.4757 12.0013 12.3893 12.7389
SDSS SDSS g191b2b 0 11.4702 12.0005 12.3881 12.7376 11.476 12.0005 12.3881 12.7376
SDSS SDSS g191b2b 0 11.4687 11.9994 12.387 12.7365 11.4745 11.9994 12.387 12.7365
SDSS SDSS g191b2b 0 11.4704 12.0008 12.3884 12.7379 11.4762 12.0008 12.3884 12.7379
SDSS SDSS g191b2b 0 11.468 11.9981 12.3856 12.7351 11.4738 11.9981 12.3856 12.7351
SDSS SDSS g191b2b 0 11.4691 12.0001 12.3878 12.7374 11.4749 12.0001 12.3878 12.7374
SDSS SDSS g191b2b 0 11.4707 12.0009 12.3885 12.738 11.4765 12.0009 12.3885 12.738
SDSS SDSS g191b2b 0 11.4676 11.9984 12.3861 12.7357 11.4734 11.9984 12.3861 12.7357
SDSS SDSS g191b2b 0 11.469 11.9999 12.3878 12.7374 11.4748 11.9999 12.3878 12.7374
SDSS SDSS g191b2b 0 11.4682 11.9991 12.3869 12.7365 11.474 11.9991 12.3869 12.7365
SDSS SDSS g191b2b 0 11.4706 12.0013 12.3889 12.7383 11.4764 12.0013 12.3889 12.7383
SDSS SDSS g191b2b 0 11.4673 11.9975 12.3849 12.7342 11.4731 11.9975 12.3849 12.7342
SDSS SDSS g191b2b 0 11.471 12.0011 12.3886 12.7382 11.4767 12.0011 12.3886 12.7382
SDSS SDSS g191b2b 0 11.4684 11.9993 12.387 12.7366 11.4742 11.9993 12.387 12.7366
SDSS SDSS g191b2b 0 11.4712 12.0018 12.3894 12.7389 11.477 12.0018 12.3894 12.7389
SDSS SDSS g191b2b 0 11.468 11.9986 12.3863 12.7358 11.4738 11.9986 12.3863 12.7358
SDSS SDSS g191b2b 0 11.4682 11.999 12.3867 12.7362 11.474 11.999 12.3867 12.7362
SDSS SDSS g191b2b 0 11.4693 11.9995 12.387 12.7364 11.4751 11.9995 12.387 12.7364
SDSS SDSS g191b2b 0 11.47 12.0002 12.3876 12.7369 11.4758 12.0002 12.3876 12.7369
SDSS SDSS g191b2b 0 11.4694 12.0004 12.3882 12.7378 11.4752 12.0004 12.3882 12.7378
SDSS SDSS g191b2b 0 11.4695 11.9996 12.3871 12.7366 11.4753 11.9996 12.3871 12.7366
SDSS SDSS g191b2b 0 11.4701 12.0012 12.389 12.7385 11.4759 12.0012 12.389 12.7385
SDSS SDSS g191b2b 0 11.4695 12.0008 12.3886 12.738 11.4753 12.0008 12.3886 12.738
SDSS SDSS g191b2b 0 11.4693 11.9999 12.3876 12.7371 11.4751 11.9999 12.3876 12.7371
SDSS SDSS g191b2b 0 11.4701 12.001 12.3888 12.7384 11.4759 12.001 12.3888 12.7384
SDSS SDSS g191b2b 0 11.4688 11.9993 12.3868 12.7362 11.4746 11.9993 12.3868 12.7362
SDSS SDSS g191b2b 0 11.4698 12.0005 12.3883 12.7378 11.4756 12.0005 12.3883 12.7378
SDSS SDSS g191b2b 0 11.4692 12.0004 12.3884 12.7382 11.475 12.0004 12.3884 12.7382
SDSS SDSS g191b2b 0 11.4702 12.0017 12.3897 12.7394 11.4761 12.0017 12.3897 12.7394
SDSS SDSS g191b2b 0 11.4691 11.9998 12.3873 12.7365 11.4749 11.9998 12.3873 12.7365
SDSS SDSS g191b2b 0 11.4698 12.0008 12.3887 12.7383 11.4756 12.0008 12.3887 12.7383
SDSS SDSS g191b2b 0 11.4695 12.0 12.3876 12.7372 11.4753 12.0 12.3876 12.7372
SDSS SDSS g191b2b 0 11.4699 12.0009 12.3885 12.7379 11.4757 12.0009 12.3885 12.7379
SDSS SDSS g191b2b 0 11.4687 11.9996 12.3872 12.7366 11.4745 11.9996 12.3872 12.7366
SDSS SDSS g191b2b 0 11.4698 12.0006 12.3883 12.7377 11.4756 12.0006 12.3883 12.7377
SDSS SDSS g191b2b 0 11.4692 11.9995 12.387 12.7366 11.475 11.9995 12.387 12.7366
SDSS SDSS g191b2b 0 11.47 12.0008 12.3885 12.7379 11.4758 12.0008 12.3885 12.7379
SDSS SDSS g191b2b 0 11.4697 12.001 12.3889 12.7386 11.4755 12.001 12.3889 12.7386
SDSS SDSS g191b2b 0 11.4691 12.0003 12.3881 12.7377 11.4749 12.0003 12.3881 12.7377
SDSS SDSS g191b2b 0 11.4693 12.0001 12.3878 12.7373 11.4751 12.0001 12.3878 12.7373
SDSS SDSS g191b2b 0 11.4705 12.0016 12.3895 12.7391 11.4763 12.0016 12.3895 12.7391
SDSS SDSS g191b2b 0 11.4715 12.0025 12.3902 12.7397 11.4773 12.0025 12.3902 12.7397
SDSS SDSS g191b2b 0 11.4695 11.9992 12.3866 12.7361 11.4753 11.9992 12.3866 12.7361
SDSS SDSS g191b2b 0 11.4688 12.0 12.3878 12.7374 11.4746 12.0 12.3878 12.7374
SDSS SDSS g191b2b 0 11.4702 12.0009 12.3887 12.7385 11.476 12.0009 12.3887 12.7385
SDSS SDSS g191b2b 0 11.4693 11.9993 12.3867 12.7362 11.4751 11.9993 12.3867 12.7362
SDSS SDSS g191b2b 0 11.4685 11.9986 12.386 12.7355 11.4743 11.9986 12.386 12.7355
SDSS SDSS g191b2b 0 11.4693 12.0 12.3878 12.7375 11.475 12.0 12.3878 12.7375
SDSS SDSS g191b2b 0 11.471 12.0015 12.3892 12.7389 11.4768 12.0015 12.3892 12.7389
SDSS SDSS g191b2b 0 11.4694 11.9999 12.3875 12.7369 11.4752 11.9999 12.3875 12.7369
SDSS SDSS g191b2b 0 11.4692 12.0001 12.3878 12.7372 11.475 12.0001 12.3878 12.7372
SDSS SDSS g191b2b 0 11.4703 12.0011 12.3888 12.7383 11.4761 12.0011 12.3888 12.7383
SDSS SDSS g191b2b 0 11.4691 11.9988 12.3862 12.7356 11.4749 11.9988 12.3862 12.7356
SDSS SDSS g191b2b 0 11.4692 11.9999 12.3875 12.7369 11.475 11.9999 12.3875 12.7369
SDSS SDSS g191b2b 0 11.469 11.9996 12.3873 12.737 11.4748 11.9996 12.3873 12.737
SDSS SDSS g191b2b 0 11.4693 12.0011 12.3891 12.7387 11.4752 12.0011 12.3891 12.7387
SDSS SDSS g191b2b 0 11.4682 11.9986 12.3862 12.7356 11.474 11.9986 12.3862 12.7356
SDSS SDSS g191b2b 0 11.4697 12.0009 12.3888 12.7383 11.4755 12.0009 12.3888 12.7383
SDSS SDSS g191b2b 0 11.4684 11.9988 12.3864 12.7358 11.4741 11.9988 12.3864 12.7358
SDSS SDSS g191b2b 0 11.4696 12.0001 12.3876 12.7371 11.4754 12.0001 12.3876 12.7371
SDSS SDSS g191b2b 0 11.4707 12.0016 12.3895 12.7391 11.4765 12.0016 12.3895 12.7391
SDSS SDSS g191b2b 0 11.4691 12.0002 12.3879 12.7374 11.4749 12.0002 12.3879 12.7374
SDSS SDSS g191b2b 0 11.469 11.9993 12.3868 12.7363 11.4748 11.9993 12.3868 12.7363
SDSS SDSS g191b2b 0 11.47 12.0009 12.3886 12.7382 11.4758 12.0009 12.3886 12.7382
SDSS SDSS g191b2b 0 11.4692 11.9996 12.3873 12.737 11.475 11.9996 12.3873 12.737
SDSS SDSS g191b2b 0 11.4692 11.9995 12.3869 12.7364 11.475 11.9995 12.3869 12.7364
SDSS SDSS g191b2b 0 11.4701 12.0006 12.3883 12.7379 11.4759 12.0006 12.3883 12.7379
SDSS SDSS g191b2b 0 11.4687 11.9993 12.3869 12.7364 11.4745 11.9993 12.3869 12.7364
SDSS SDSS g191b2b 0 11.4692 11.9992 12.3866 12.7359 11.4749 11.9992 12.3866 12.7359
SDSS SDSS g191b2b 0 11.4697 12.0006 12.3885 12.7382 11.4755 12.0006 12.3885 12.7382
SDSS SDSS g191b2b 0 11.4691 11.9998 12.3873 12.7366 11.4749 11.9998 12.3873 12.7366
SDSS SDSS g191b2b 0 11.4691 11.9996 12.3873 12.7368 11.4749 11.9996 12.3873 12.7368
SDSS SDSS g191b2b 0 11.4705 12.0015 12.3891 12.7385 11.4763 12.0015 12.3891 12.7385
SDSS SDSS g191b2b 0 11.4682 11.9988 12.3865 12.7361 11.474 11.9988 12.3865 12.7361
SDSS SDSS g191b2b 0 11.4684 11.9985 12.386 12.7354 11.4742 11.9985 12.386 12.7354
SDSS SDSS g191b2b 0 11.4703 12.0011 12.3888 12.7383 11.4761 12.0011 12.3888 12.7383
SDSS SDSS g191b2b 0 11.4687 11.9999 12.3877 12.7373 11.4745 11.9999 12.3877 12.7373
SDSS SDSS g191b2b 0 11.4694 12.0003 12.3881 12.7376 11.4752 12.0003 12.3881 12.7376
SDSS SDSS g191b2b 0 11.4693 12.0 12.3877 12.7373 11.4751 12.0 12.3877 12.7373
SDSS SDSS g191b2b 0 11.4682 11.9988 12.3864 12.736 11.474 11.9988 12.3864 12.736
SDSS SDSS g191b2b 0 11.4685 11.9989 12.3864 12.7357 11.4743 11.9989 12.3864 12.7357
SDSS SDSS g191b2b 0 11.4691 11.9991 12.3865 12.736 11.4749 11.9991 12.3865 12.736
SDSS SDSS g191b2b 0 11.4685 11.999 12.3866 12.7361 11.4743 11.999 12.3866 12.7361
SDSS SDSS g191b2b 0 11.4676 11.998 12.3855 12.735 11.4734 11.998 12.3855 12.735
SDSS SDSS g191b2b 0 11.4676 11.9992 12.387 12.7365 11.4735 11.9992 12.387 12.7365
SDSS SDSS g191b2b 0 11.4688 12.0006 12.3887 12.7384 11.4746 12.0006 12.3887 12.7384
SDSS SDSS g191b2b 0 11.4694 12.0002 12.388 12.7377 11.4752 12.0002 12.388 12.7377
SDSS SDSS g191b2b 0 11.47 12.0007 12.3885 12.7381 11.4758 12.0007 12.3885 12.7381
SDSS SDSS g191b2b 0 11.4689 11.9995 12.387 12.7365 11.4747 11.9995 12.387 12.7365
SDSS SDSS g191b2b 0 11.4685 11.9995 12.3873 12.7368 11.4743 11.9995 12.3873 12.7368
SDSS SDSS g191b2b 0 11.4694 11.9998 12.3874 12.7368 11.4752 11.9998 12.3874 12.7368
SDSS SDSS gd153 0 13.0717 13.5697 13.943 14.2857 13.0767 13.5697 13.943 14.2857
SDSS SDSS gd153 0 13.0695 13.5683 13.9424 14.2858 13.0745 13.5683 13.9424 14.2858
SDSS SDSS gd153 0 13.0701 13.5684 13.9418 14.2843 13.0751 13.5684 13.9418 14.2843
SDSS SDSS gd153 0 13.0702 13.5674 13.9404 14.283 13.0752 13.5674 13.9404 14.283
SDSS SDSS gd153 0 13.0701 13.5676 13.9408 14.2835 13.0751 13.5676 13.9408 14.2835
SDSS SDSS gd153 0 13.0705 13.5694 13.9434 14.2868 13.0755 13.5694 13.9434 14.2868
SDSS SDSS gd153 0 13.0701 13.568 13.9413 14.284 13.0752 13.568 13.9413 14.284
SDSS SDSS gd153 0 13.0697 13.5694 13.9436 14.2868 13.0747 13.5694 13.9436 14.2868
SDSS SDSS gd153 0 13.0697 13.5675 13.941 14.2842 13.0747 13.5675 13.941 14.2842
SDSS SDSS gd153 0 13.0704 13.5689 13.9426 14.2855 13.0754 13.5689 13.9426 14.2855
SDSS SDSS gd153 0 13.0701 13.569 13.9429 14.2861 13.0751 13.569 13.9429 14.2861
SDSS SDSS gd153 0 13.0702 13.5681 13.9412 14.2836 13.0753 13.5681 13.9412 14.2836
SDSS SDSS gd153 0 13.0702 13.5683 13.9417 14.2845 13.0752 13.5683 13.9417 14.2845
SDSS SDSS gd153 0 13.0713 13.5691 13.9424 14.2851 13.0763 13.5691 13.9424 14.2851
SDSS SDSS gd153 0 13.0701 13.5684 13.9418 14.2844 13.0751 13.5684 13.9418 14.2844
SDSS SDSS gd153 0 13.0704 13.5692 13.9428 14.2856 13.0755 13.5692 13.9428 14.2856
SDSS SDSS gd153 0 13.0693 13.5679 13.9416 14.2847 13.0743 13.5679 13.9416 14.2847
SDSS SDSS gd153 0 13.0717 13.57 13.9435 14.2861 13.0767 13.57 13.9435 14.2861
SDSS SDSS gd153 0 13.0693 13.5667 13.9398 14.2825 13.0743 13.5667 13.9398 14.2825
SDSS SDSS gd153 0 13.0708 13.5686 13.9422 14.2855 13.0758 13.5686 13.9422 14.2855
SDSS SDSS gd153 0 13.0694 13.5677 13.9412 14.284 13.0744 13.5677 13.9412 14.284
SDSS SDSS gd153 0 13.072 13.5699 13.9432 14.2859 13.077 13.5699 13.9432 14.2859
SDSS SDSS gd153 0 13.0709 13.5694 13.9429 14.2856 13.0759 13.5694 13.9429 14.2856
SDSS SDSS gd153 0 13.0684 13.5673 13.9416 14.2854 13.0734 13.5673 13.9416 14.2854
SDSS SDSS gd153 0 13.0703 13.5685 13.9421 14.2851 13.0753 13.5685 13.9421 14.2851
SDSS SDSS gd153 0 13.0717 13.5695 13.9428 14.2857 13.0767 13.5695 13.9428 14.2857
SDSS SDSS gd153 0 13.0695 13.5689 13.9432 14.2865 13.0746 13.5689 13.9432 14.2865
SDSS SDSS gd153 0 13.0702 13.5686 13.9423 14.2853 13.0753 13.5686 13.9423 14.2853
SDSS SDSS gd153 0 13.0694 13.5686 13.9426 14.2856 13.0745 13.5686 13.9426 14.2856
SDSS SDSS gd153 0 13.0703 13.5689 13.9427 14.286 13.0753 13.5689 13.9427 14.286
SDSS SDSS gd153 0 13.071 13.5697 13.9433 14.286 13.0761 13.5697 13.9433 14.286
SDSS SDSS gd153 0 13.0712 13.5698 13.9436 14.2866 13.0762 13.5698 13.9436 14.2866
SDSS SDSS gd153 0 13.0704 13.5681 13.9413 14.284 13.0754 13.5681 13.9413 14.284
SDSS SDSS gd153 0 13.0704 13.569 13.9426 14.2854 13.0754 13.569 13.9426 14.2854
SDSS SDSS gd153 0 13.069 13.5683 13.9423 14.2853 13.074 13.5683 13.9423 14.2853
SDSS SDSS gd153 0 13.0706 13.5695 13.9435 14.2867 13.0756 13.5695 13.9435 14.2867
SDSS SDSS gd153 0 13.0709 13.5688 13.9419 14.2843 13.0759 13.5688 13.9419 14.2843
SDSS SDSS gd153 0 13.0696 13.5689 13.9431 14.2867 13.0747 13.5689 13.9431 14.2867
SDSS SDSS gd153 0 13.0714 13.5699 13.9434 14.2861 13.0764 13.5699 13.9434 14.2861
SDSS SDSS gd153 0 13.0715 13.5696 13.9431 14.2859 13.0765 13.5696 13.9431 14.2859
SDSS SDSS gd153 0 13.0708 13.5692 13.9428 14.2855 13.0758 13.5692 13.9428 14.2855
SDSS SDSS gd153 0 13.0714 13.5693 13.9426 14.2854 13.0764 13.5693 13.9426 14.2854
SDSS SDSS gd153 0 13.0706 13.5685 13.9418 14.2845 13.0756 13.5685 13.9418 14.2845
SDSS SDSS gd153 0 13.0719 13.5703 13.9438 14.2865 13.077 13.5703 13.9438 14.2865
SDSS SDSS gd153 0 13.0701 13.5695 13.9436 14.2868 13.0751 13.5695 13.9436 14.2868
SDSS SDSS gd153 0 13.0687 13.5681 13.9423 14.2856 13.0738 13.5681 13.9423 14.2856
SDSS SDSS gd153 0 13.0702 13.5686 13.9422 14.2853 13.0752 13.5686 13.9422 14.2853
SDSS SDSS gd153 0 13.0707 13.5702 13.9442 14.2872 13.0757 13.5702 13.9442 14.2872
SDSS SDSS gd153 0 13.0726 13.5712 13.9449 14.288 13.0776 13.5712 13.9449 14.288
SDSS SDSS gd153 0 13.0707 13.5681 13.9413 14.2839 13.0757 13.5681 13.9413 14.2839
SDSS SDSS gd153 0 13.0697 13.569 13.9431 14.2864 13.0747 13.569 13.9431 14.2864
SDSS SDSS gd153 0 13.0705 13.5695 13.9431 14.2858 13.0756 13.5695 13.9431 14.2858
SDSS SDSS gd153 0 13.0716 13.5684 13.941 14.2831 13.0766 13.5684 13.941 14.2831
SDSS SDSS gd153 0 13.0696 13.5675 13.9409 14.2835 13.0746 13.5675 13.9409 14.2835
SDSS SDSS gd153 0 13.0712 13.5695 13.943 14.2859 13.0762 13.5695 13.943 14.2859
SDSS SDSS gd153 0 13.0702 13.5692 13.9433 14.2867 13.0752 13.5692 13.9433 14.2867
SDSS SDSS gd153 0 13.0711 13.569 13.9421 14.2845 13.0762 13.569 13.9421 14.2845
SDSS SDSS gd153 0 13.0703 13.5687 13.9422 14.2851 13.0753 13.5687 13.9422 14.2851
SDSS SDSS gd153 0 13.0706 13.5692 13.943 14.286 13.0756 13.5692 13.943 14.286
SDSS SDSS gd153 0 13.0708 13.5682 13.9413 14.284 13.0758 13.5682 13.9413 14.284
