survey version standard standard_catagory shift DES-g DES-r DES-i DES-z 
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -10 5.09 5.451 5.728 5.892
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -10 3.833 2.914 2.667 2.533
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -10 8.4 8.195 8.223 8.269
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -10 8.13 8.065 8.132 8.189
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -10 5.17 4.362 4.147 4.034
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -10 5.711 5.92 6.155 6.239
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -10 9.259 8.881 8.766 8.692
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -10 8.961 8.575 8.475 8.454
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -10 7.67 7.452 7.427 7.435
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -10 3.37 3.619 3.833 3.885
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -10 6.452 5.503 5.225 5.062
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -10 9.181 8.628 8.45 8.373
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -10 8.515 6.092 3.645 2.02
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -10 5.39 4.201 3.794 3.56
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -10 6.763 6.002 5.783 5.667
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -10 8.302 7.691 7.475 7.367
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -10 3.564 3.992 4.315 4.529
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -10 6.677 5.68 5.392 5.212
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -10 5.769 5.358 5.295 5.295
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 -10 5.369 5.363 5.473 5.548
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 -10 8.849 8.161 7.936 7.835
