survey version standard standard_catagory shift DES-g DES-r DES-i DES-z 
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 10 5.093 5.455 5.731 5.893
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 10 3.811 2.909 2.666 2.53
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 10 8.393 8.195 8.224 8.269
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 10 8.124 8.066 8.134 8.19
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 10 5.151 4.357 4.146 4.032
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 10 5.71 5.924 6.158 6.239
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 10 9.25 8.879 8.765 8.691
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 10 8.951 8.573 8.475 8.453
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 10 7.663 7.451 7.428 7.435
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 10 3.371 3.622 3.835 3.886
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 10 6.431 5.497 5.222 5.059
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 10 9.167 8.624 8.449 8.372
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 10 8.498 6.077 3.625 1.997
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 10 5.365 4.193 3.79 3.557
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 10 6.745 5.997 5.781 5.665
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 10 8.288 7.687 7.474 7.366
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 10 3.568 3.998 4.319 4.531
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 10 6.654 5.674 5.389 5.209
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 10 5.757 5.356 5.296 5.294
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 10 5.364 5.365 5.475 5.548
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 10 8.833 8.156 7.935 7.834
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 10 5.609 5.876 6.095 6.21
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 10 12.321 12.029 11.988 12.041
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 10 5.337 5.041 5.004 5.027
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 10 5.57 5.915 6.202 6.36
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 10 6.719 6.862 7.018 7.043
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 10 6.352 5.114 4.703 4.447
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 10 4.201 4.364 4.548 4.703
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 10 4.464 4.134 4.063 4.053
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 10 3.749 4.066 4.327 4.471
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 10 10.548 10.244 10.155 10.15
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 10 10.369 10.063 10.011 10.031
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 10 7.53 6.926 6.782 6.742
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 10 6.382 5.418 5.138 4.949
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 10 3.659 4.042 4.333 4.57
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 10 9.006 9.197 9.389 9.437
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 10 10.088 9.598 9.451 9.377
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 10 11.268 9.821 8.619 8.136
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 10 9.911 9.647 9.576 9.578
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 10 9.211 8.803 8.691 8.642
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 10 2.733 1.586 1.223 0.988
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 10 9.611 9.493 9.525 9.553
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 10 6.58 5.295 4.768 4.475
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 10 6.005 5.289 5.085 4.977
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 10 8.357 8.02 7.996 8.018
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 10 10.288 10.435 10.558 10.571
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 10 4.43 4.066 3.996 4.0
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 10 4.866 4.272 4.114 4.053
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 10 10.849 10.562 10.499 10.501
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 10 5.175 4.503 4.337 4.255
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 10 5.751 4.697 4.336 4.151
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 10 4.545 3.938 3.794 3.749
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 10 2.723 1.511 1.069 0.821
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 10 10.168 9.975 9.948 9.963
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 10 7.829 7.402 7.268 7.211
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 10 5.103 5.467 5.743 5.945
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 10 8.292 7.797 7.651 7.592
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 10 3.117 3.406 3.622 3.667
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 10 4.972 4.379 4.221 4.17
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 10 5.364 4.699 4.521 4.439
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 10 11.484 11.061 10.936 10.871
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 10 9.326 8.855 8.682 8.594
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 10 8.684 8.322 8.226 8.2
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 10 10.402 10.103 10.043 10.047
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 10 7.656 6.857 6.564 6.405
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 10 8.292 7.791 7.608 7.531
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 10 6.074 6.337 6.551 6.66
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 10 6.433 5.934 5.829 5.791
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 10 9.941 9.718 9.685 9.697
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 10 4.574 4.198 4.136 4.144
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 10 10.635 10.309 10.211 10.199
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 10 10.167 9.79 9.705 9.681
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 10 5.406 5.631 5.875 5.981
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 10 6.617 6.26 6.194 6.205
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 10 8.064 7.448 7.222 7.107
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 10 12.735 11.256 10.425 10.067
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 10 7.517 6.197 5.718 5.413
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 10 5.6 4.158 3.244 2.823
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 10 3.185 2.623 2.498 2.451
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 10 3.613 2.841 2.623 2.497
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 10 6.135 6.367 6.563 6.635
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 10 8.464 8.08 7.978 7.959
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 10 8.887 8.387 8.227 8.165
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 10 5.698 4.863 4.627 4.485
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 10 4.498 4.628 4.79 4.822
