survey version standard standard_catagory shift ASASSN-g ASASSN-j ASASSN-i ASASSN-h 
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.114 5.249 5.435 5.7
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 4.675 3.344 2.961 2.679
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.707 8.283 8.208 8.215
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.389 8.076 8.073 8.122
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 5.897 4.753 4.404 4.159
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.845 5.784 5.909 6.131
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.602 9.078 8.91 8.773
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 9.358 8.765 8.602 8.478
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.971 7.551 7.47 7.425
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.42 3.481 3.61 3.814
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 7.285 5.964 5.551 5.243
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 9.689 8.904 8.664 8.459
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 9.316 7.761 6.46 3.765
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 6.339 4.792 4.267 3.822
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 7.471 6.368 6.044 5.796
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 8.823 7.999 7.733 7.488
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.55 3.755 3.972 4.284
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 7.531 6.166 5.729 5.412
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 6.226 5.548 5.382 5.295
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 5.598 5.349 5.367 5.458
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 9.435 8.51 8.204 7.949
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 5.694 5.733 5.863 6.068
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 12.633 12.178 12.053 11.984
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 5.708 5.185 5.063 5.001
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 5.601 5.719 5.895 6.171
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 6.853 6.775 6.856 6.999
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 7.406 5.735 5.187 4.735
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 4.246 4.271 4.356 4.526
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 4.87 4.296 4.16 4.064
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 0 3.817 3.881 4.048 4.297
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 0 10.871 10.406 10.272 10.157
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 0 10.705 10.218 10.088 10.009
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 0 8.108 7.236 6.964 6.789
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 0 7.265 5.897 5.471 5.161
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 0 3.629 3.827 4.022 4.3
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 0 9.131 9.076 9.187 9.367
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 0 10.573 9.842 9.635 9.46
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 0 12.303 10.649 9.985 8.709
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 0 10.205 9.791 9.673 9.577
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 0 9.598 9.011 8.834 8.698
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 0 3.731 2.163 1.651 1.252
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 0 9.89 9.542 9.505 9.516
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 0 7.658 5.958 5.379 4.808
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 0 6.702 5.645 5.334 5.099
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 0 8.784 8.177 8.041 7.991
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 0 10.441 10.342 10.432 10.543
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 0 4.843 4.251 4.094 3.995
ASASSN2 ASASSN2 spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 0 5.46 4.568 4.311 4.122
