survey version standard standard_catagory shift CFA3K-B CFA3K-V CFA3K-r CFA3K-i 
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.157231283232352 5.2177907029105555 5.400730801681434 5.684066204136411
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 4.450189765149463 3.3409579710711275 2.9593513031189933 2.6672099688678452
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.667358688622874 8.26432628758728 8.19070825311817 8.201822370440096
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.363405898979702 8.053718355224749 8.050105836478817 8.10762643059404
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 5.71169755987358 4.747024102522577 4.401530021359112 4.146254152949568
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.8551978187608915 5.757371762363778 5.8784405495384435 6.114969084525954
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.558115854991586 9.062337216334555 8.89724112936215 8.758765149343832
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 9.291708137527726 8.749305063366425 8.58944356681991 8.465985688682332
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.936346962077297 7.532431037509571 7.452489803472397 7.411059591649143
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.4586145142111655 3.4519623604536673 3.5797681766301577 3.7953905765953317
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 7.059372967954782 5.961752536163903 5.551572507293696 5.229134874427712
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 9.58467702904589 8.892041293156339 8.655276937295405 8.447071642281715
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 9.258409374728425 7.7812495108912785 6.408444157557381 3.834559861466503
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 6.075727659237354 4.796041393281936 4.269751567270977 3.8101485178601644
CFA3K CFA3K spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 7.292974142868597 6.360943821719815 6.039722862045598 5.782340464756875
