survey version standard standard_catagory shift CFA4P1-B CFA4P1-V CFA4P1-r CFA4P1-i 
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.148 5.232 5.407 5.678
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 4.498 3.328 2.955 2.67
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.677 8.267 8.192 8.2
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.371 8.06 8.053 8.105
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 5.752 4.737 4.398 4.15
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.858 5.768 5.884 6.11
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.572 9.062 8.896 8.761
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 9.306 8.749 8.589 8.466
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.945 7.536 7.453 7.41
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.454 3.464 3.585 3.793
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 7.107 5.948 5.547 5.235
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 9.607 8.888 8.653 8.449
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 9.281 7.75 6.379 3.837
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 6.131 4.776 4.263 3.818
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 7.332 6.352 6.036 5.786
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 8.742 7.983 7.722 7.479
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.59 3.739 3.943 4.259
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 7.346 6.15 5.726 5.404
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 6.155 5.532 5.369 5.281
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 5.586 5.333 5.347 5.44
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 9.329 8.493 8.194 7.94
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 5.714 5.717 5.839 6.047
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 12.607 12.163 12.038 11.97
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 5.664 5.17 5.049 4.987
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 5.636 5.702 5.868 6.148
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 6.868 6.759 6.833 6.98
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 7.174 5.719 5.185 4.731
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 4.271 4.255 4.333 4.506
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 4.816 4.28 4.146 4.051
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 0 3.844 3.865 4.021 4.274
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 0 10.842 10.39 10.257 10.145
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 0 10.673 10.202 10.073 9.995
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 0 8.007 7.219 6.955 6.778
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 0 7.079 5.88 5.468 5.153
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 0 3.668 3.811 3.994 4.276
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 0 9.148 9.06 9.162 9.346
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 0 10.504 9.827 9.622 9.45
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 0 12.102 10.633 9.954 8.731
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 0 10.182 9.776 9.658 9.564
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 0 9.555 8.995 8.821 8.686
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 0 3.511 2.147 1.65 1.246
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 0 9.87 9.526 9.487 9.501
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 0 7.416 5.942 5.375 4.807
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 0 6.571 5.629 5.326 5.09
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 0 8.725 8.161 8.027 7.977
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 0 10.452 10.326 10.408 10.525
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 0 4.787 4.235 4.081 3.982
CFA4P1 CFA4P1 spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 0 5.358 4.552 4.301 4.111
