survey version standard standard_catagory shift CSP_TAMU-u CSP_TAMU-g CSP_TAMU-r CSP_TAMU-i CSP_TAMU-B CSP_TAMU-V CSP_TAMU-o CSP_TAMU-m CSP_TAMU-n CSP_TAMU-Y CSP_TAMU-y 
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.538529074002699 5.094018868447396 5.4062109887983425 5.684351535958231 5.157466817131256 5.223121093547005 5.230596391580579 5.226596391580578 5.231596391580578 5.382369347998609 5.373873369916711
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 6.4418640160548035 3.870347463649669 2.957740868296408 2.6741689324118267 4.396917985575781 3.4007338412372348 3.367674291867341 3.363674291867341 3.368674291867341 1.743718062149239 1.715412882943979
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 9.447261653116792 8.41900331028431 8.1921272799169 8.20476256300301 8.646704283445635 8.29275023596396 8.281809346295097 8.277809346295097 8.282809346295098 7.690182248224478 7.679411047119145
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 9.243158033975233 8.146473791723551 8.053282386224737 8.109886528317118 8.344190938644727 8.075332388645313 8.068509024189703 8.064509024189704 8.069509024189705 7.601536777960786 7.58952334166599
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 7.520001622172987 5.203754799503997 4.3995185949176125 4.153592821375137 5.662200884587458 4.802244110005881 4.7733477052291375 4.769347705229137 4.774347705229137 3.2850593761836935 3.2597872239886625
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 6.836007977012112 5.719961156974314 5.883148737086103 6.116017433704694 5.841510962897656 5.76978189335613 5.7691460827553795 5.765146082755379 5.770146082755379 5.707248828150473 5.701406339603827
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 10.664637286209514 9.27866912589209 8.898357991630732 8.76518909873039 9.536811528898875 9.097400894471145 9.081957340572531 9.077957340572532 9.082957340572532 8.011144929354373 7.991641652486098
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 10.083228778110476 8.984294740699966 8.590475252922523 8.470136935393198 9.266933941167663 8.784141532486705 8.769346859003457 8.765346859003458 8.770346859003459 7.794704705249225 7.776046547850238
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 8.697848656440671 7.6885905113807596 7.454599155639322 7.414917777885868 7.917549002988357 7.559988211728165 7.549527323102182 7.545527323102181 7.550527323102181 6.778388368633679 6.759492882242372
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 4.041353952138965 3.3752895567590966 3.584064060098672 3.799496004651238 3.4580829560812796 3.4611946511908847 3.4663697249464596 3.4623697249464596 3.4673697249464595 3.3568054409371557 3.347113778226194
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 9.284450266077522 6.4891560887915 5.549376578601443 5.237980687398603 7.003692845858309 6.024506104715649 5.9904762347961364 5.986476234796136 5.991476234796136 4.255121218892815 4.226014719877834
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 10.617783342806087 9.207919164666936 8.655914480999794 8.452922962130009 9.551596626286686 8.934124945180786 8.914395095581723 8.910395095581723 8.915395095581724 7.656457134687355 7.633165502177671
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 10.727943536037143 8.555517799044793 6.5213509824743845 3.835502593231051 9.247444082317534 7.896824743159272 7.828414420844484 7.824414420844484 7.829414420844484 0.4159957814217856 0.35751113717957395
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 8.539931540299792 5.428081648593825 4.268638684594869 3.8201799341052824 6.016776403308723 4.87175673996859 4.828676247650715 4.824676247650714 4.829676247650714 2.740588712218046 2.7120768266221686
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 9.02823751927941 6.797018159355424 6.03848950990956 5.789951388144078 7.244804332535418 6.412892713609197 6.386074614689099 6.382074614689099 6.387074614689099 4.923922416398871 4.898779516094694
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 9.722398609309119 8.329767663260352 7.7256395140662555 7.483122295081283 8.687641408885705 8.032210005831237 8.010479618492303 8.006479618492303 8.011479618492304 6.690704298247742 6.673519650134188
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.758007996219457 3.5661342401675857 3.9418061190648035 4.2663817095291305 3.6096596837573025 3.7256289659435686 3.7356475409614474 3.7316475409614474 3.7366475409614472 4.039187669538738 4.031538805590066
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 9.633595448443314 6.713671299393901 5.727980748193989 5.4075055037140904 7.2390391874698405 6.23174396304097 6.195891281115645 6.191891281115645 6.1968912811156445 4.393330194214376 4.36285961647286
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 7.143802798952833 5.79427153235304 5.3695637518647 5.285880115416293 6.104291934972375 5.569930157094796 5.554077178520511 5.55007717852051 5.55507717852051 4.682240703334117 4.668169156807276
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 6.584184971764123 5.383361936624311 5.347042651698306 5.445083040017965 5.558922627970292 5.3466095268500355 5.34034921939628 5.336349219396279 5.341349219396279 4.937222582968045 4.9221273043584395
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 10.500690944593424 8.87843731438143 8.197278963564202 7.943578811890265 9.262596329845804 8.550731994004872 8.526287717798207 8.522287717798207 8.527287717798208 7.127581519167582 7.1057972963460925
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 6.539669062506959 5.613969560306614 5.838539382953275 6.053304510979632 5.703761843218848 5.713827411887274 5.717768136330949 5.713768136330948 5.718768136330948 5.651096592276397 5.638411574778213
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 13.2581628582239 12.347025177071274 12.038694570640796 11.97466142896488 12.583107339902652 12.193606110541795 12.180258975037995 12.176258975037996 12.181258975037997 11.23285881587945 11.190950266133337
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 6.4588006059830425 5.367197590775465 5.049791443352678 4.991306474221303 5.627752672916367 5.200158081026005 5.187138655382017 5.183138655382017 5.188138655382017 4.4181402406327495 4.404020008880564
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 6.139689667303048 5.571544314228092 5.866032487770045 6.155290901078696 5.64108947535785 5.693416152887644 5.700718194830894 5.696718194830893 5.701718194830893 5.889121159588801 5.885516703217372
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 7.7872503609870725 6.729379516032854 6.832500461377851 6.985485565362299 6.852769844028925 6.763655099574632 6.762507408135835 6.758507408135834 6.763507408135834 6.458822125802123 6.4467642043136335
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 9.739024668993052 6.418623479044534 5.190351565449568 4.733224507122169 7.053006378289107 5.81970234742352 5.773745866983158 5.769745866983158 5.7747458669831575 3.566920785465979 3.5334918580960517
CSP CSP spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 4.219230333671233 4.206271931457813 4.331430257143413 4.51204304709714 4.295070670408572 4.257672974034258 4.259754186069219 4.255754186069218 4.260754186069218 4.158523632660626 4.145438962833835
