survey version standard standard_catagory shift Foundation-g Foundation-r Foundation-i Foundation-z 
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.077 5.387 5.668 5.844
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 3.793 2.955 2.682 2.563
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.375 8.181 8.2 8.249
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.107 8.04 8.103 8.171
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 5.131 4.396 4.161 4.057
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.693 5.866 6.101 6.228
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.233 8.891 8.768 8.705
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 8.933 8.583 8.472 8.452
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.645 7.444 7.413 7.428
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.355 3.567 3.786 3.866
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 6.411 5.548 5.248 5.1
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 9.149 8.65 8.459 8.386
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 8.494 6.525 3.996 2.532
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 5.346 4.269 3.837 3.622
