survey version standard standard_catagory shift GAIA-X GAIA-X GAIA-X 
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.3394 5.1868 5.6801
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 3.1331 3.5951 2.6767
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.2996 8.3942 8.2153
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.1257 8.1686 8.1182
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 4.5705 4.9773 4.1561
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.8922 5.8117 6.1059
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.0023 9.2131 8.766
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 8.7057 8.9064 8.4832
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.5453 7.6625 7.4245
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.5564 3.4589 3.78
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 5.7144 6.2015 5.2354
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 8.7835 9.0788 8.4621
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 4.5803 7.7084 3.2709
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 4.3962 5.0282 3.8135
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 6.1977 6.5923 5.7926
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 7.8478 8.1795 7.4888
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.8435 3.6523 4.2622
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 5.8953 6.4027 5.4005
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 5.5112 5.7117 5.2974
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 5.4105 5.4251 5.4521
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 8.3357 8.6984 7.9526
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 5.8122 5.7141 6.0526
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 12.1473 12.2896 11.9956
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 5.1649 5.316 5.0056
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 5.8139 5.6687 6.1431
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 6.846 6.8032 6.976
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 5.3208 5.9812 4.7211
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 4.3196 4.2177 4.5169
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 4.2605 4.4386 4.067
GAIA GAIA spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 0 3.982 3.8579 4.2786
