survey version standard standard_catagory shift PS1SN-g PS1SN-r PS1SN-i PS1SN-z 
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.1012 5.4054 5.6788 5.8527
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 3.7677 2.9733 2.6934 2.5715
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.3796 8.1994 8.2113 8.2584
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.1154 8.0584 8.1143 8.1803
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 5.1127 4.4143 4.1718 4.0656
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.7116 5.884 6.1122 6.2375
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.2341 8.9086 8.7793 8.7136
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 8.9317 8.6005 8.4832 8.4608
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.6497 7.4622 7.4243 7.4366
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.3767 3.5851 3.7967 3.8754
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 6.3865 5.5656 5.2593 5.1085
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 9.1413 8.668 8.4701 8.3953
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 8.4686 6.5431 4.0071 2.5405
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 5.3137 4.2875 3.8483 3.6311
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 6.7084 6.0528 5.8086 5.6963
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 8.2606 7.7386 7.5025 7.4
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.579 3.9399 4.2582 4.4748
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 6.608 5.7447 5.4295 5.2632
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 5.735 5.3795 5.2972 5.2941
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 5.3579 5.3514 5.4469 5.5368
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 8.8019 8.2108 7.963 7.8643
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 5.6135 5.8399 6.0499 6.1889
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 12.3066 12.0475 11.986 12.0133
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 5.3197 5.0586 5.0011 5.0181
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 5.5776 5.8655 6.1491 6.3193
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 6.7198 6.835 6.9857 7.0557
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 6.2978 5.2095 4.761 4.5288
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 4.2039 4.3338 4.512 4.6496
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 4.4449 4.1563 4.0677 4.0562
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 0 3.7552 4.0203 4.2756 4.4433
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 0 10.533 10.2682 10.1614 10.151
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 0 10.3539 10.0838 10.01 10.0219
PS1SN PS1SN spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 0 7.5004 6.9689 6.7964 6.7521
