survey version standard standard_catagory shift PS1-g PS1-r PS1-i PS1-z 
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.087873593224565 5.393380867103602 5.670683637436021 5.844670865207725
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 3.767481196174586 2.9613102697177496 2.685286575527023 2.563448423928225
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.371473936790931 8.187396257333944 8.203259961141722 8.250341130970043
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.106269759057675 8.04634364998537 8.10621914342062 8.172232292063697
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 5.110770628891284 4.4023077394174805 4.163762663810303 4.057527435918921
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.699850627973081 5.872010106728737 6.1041555106506635 6.229433346411639
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.227100595710407 8.896549843490444 8.771177580452928 8.705530874741122
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 8.92521574035202 8.588496494375889 8.475109651783548 8.452769534778952
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.641663374654986 7.450217287511663 7.416259589926291 7.428541813971044
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.3641410521353983 3.573112326941004 3.788623447566117 3.867376273971768
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 6.386007503466569 5.553574365058232 5.251170527569187 5.100434642397293
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 9.136471579038755 8.656025195874342 8.462037454941452 8.387259493998997
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 8.472906549524897 6.531041977705851 3.999045650112919 2.5324581073685053
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 5.315112307053923 4.275466046048955 3.840263793228388 3.622987612667771
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 6.706165651370984 6.040744310808645 5.800471946045128 5.688260455119185
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 8.256288670767898 7.726548799758035 7.494382682600559 7.391962526097608
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.5650814066032233 3.9279281100282546 4.250134590021457 4.466684490705511
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 6.607855348843234 5.732703060033295 5.421460684358486 5.255085071885446
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 5.729092866815172 5.367507751410148 5.289077459136465 5.286019918685394
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 5.347988287771027 5.339406566293974 5.438788687854718 5.528722407069306
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 8.798205668181271 8.198760074006433 7.954877314279408 7.856211110496098
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 5.600701684635361 5.827874381260759 6.041780650235971 6.1807990881255535
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 12.298983836671201 12.035470147727516 11.977931020601375 12.005228703599599
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 5.312555343544393 5.046550545029465 4.992984913354373 5.010052137227408
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 5.564458649113259 5.853486345074412 6.141067120928316 6.311225604868749
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 6.708261345277133 6.8229824817965685 6.9776225077088085 7.047676658229371
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 6.3001871844944795 5.197483535862116 4.752936631499189 4.520700290010659
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 4.192033525675381 4.321798948114065 4.503928285513197 4.641552189023244
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 4.4382207084023975 4.144281545244155 4.059579581388785 4.048166222176583
PS1 PS1 spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 0 3.7422906349504714 4.008243181517276 4.267549833296883 4.435201515357349
