survey version standard standard_catagory shift SKYMAPPER-g SKYMAPPER-r SKYMAPPER-i SKYMAPPER-z 
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.131905849336654 5.7141005244636105 5.374595067204147 5.888106654202264
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 3.570114335197161 2.6587879077546184 2.9897899269998014 2.5211885570481236
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.321911058453054 8.21282019160989 8.193196919178629 8.266366743101099
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.08086665710793 8.121427065727033 8.044693212087047 8.18693759478775
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 4.9418095186011115 4.139839617671875 4.429041349862949 4.024895697024842
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.716268157439192 6.1422368259792215 5.859277857273106 6.243656484503678
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.155533143475164 8.75967811911864 8.909274801331122 8.686800060260818
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 8.848338241361809 8.466893648949913 8.600701539443914 8.449254224236842
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.594122729942093 7.4181296070238005 7.455439335293118 7.429049894428186
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.393583844210731 3.821872828469619 3.5601264396231826 3.8840796607898547
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 6.184492612945533 5.218006216626669 5.584143632818797 5.049765445051495
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 9.028086530052366 8.442733453474315 8.673869141842758 8.36619461493716
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 8.169346195644888 3.674730537951767 6.5079583875559095 1.9992246788105525
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 5.0626906546141015 3.7899830511222063 4.312084158040605 3.553831338476204
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 6.54793013775263 5.775424352624562 6.065339790394191 5.657391079472411
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 8.13892883319889 7.469595726947592 7.7460055957826555 7.36588615576342
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.619383089773109 4.300612562880733 3.9060989132079484 4.52359201399798
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 6.394717172401652 5.38580470282573 5.764821926383512 5.199566830644454
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 5.6423444151869155 5.286163981692518 5.380500706636539 5.291158818685993
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 5.33139729889691 5.461078879380885 5.336150334684728 5.543766828144317
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 8.661679827039055 7.929989698521183 8.221266359645167 7.830671859439796
SKYMAPPER SKYMAPPER spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 5.629781917044511 6.078596259498418 5.815695341656767 6.206852616837793
