survey version standard standard_catagory shift SNLS-g SNLS-r SNLS-i SNLS-z 
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 -5.095 -5.403 -5.682 -5.856
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 -3.750 -2.937 -2.668 -2.550
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 -8.369 -8.179 -8.200 -8.250
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 -8.106 -8.043 -8.106 -8.172
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 -5.096 -4.378 -4.148 -4.045
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 -5.703 -5.877 -6.113 -6.230
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 -9.224 -8.882 -8.760 -8.695
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 -8.922 -8.574 -8.465 -8.446
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 -7.640 -7.441 -7.410 -7.424
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 -3.371 -3.578 -3.796 -3.871
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 -6.367 -5.527 -5.232 -5.083
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 -9.130 -8.638 -8.447 -8.376
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 -8.493 -6.483 -3.841 -2.360
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 -5.288 -4.244 -3.813 -3.598
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 -6.694 -6.018 -5.784 -5.677
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 -8.250 -7.707 -7.477 -7.377
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 -3.574 -3.939 -4.264 -4.481
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 -6.586 -5.705 -5.401 -5.237
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 -5.725 -5.353 -5.281 -5.282
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 -5.347 -5.337 -5.441 -5.529
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 -8.788 -8.177 -7.938 -7.843
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 -5.604 -5.833 -6.050 -6.187
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 -12.296 -12.024 -11.970 -12.009
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 -5.310 -5.035 -4.987 -5.008
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 -5.572 -5.862 -6.152 -6.322
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 -6.711 -6.826 -6.982 -7.045
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 -6.271 -5.166 -4.726 -4.494
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 -4.198 -4.324 -4.509 -4.653
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 -4.436 -4.132 -4.051 -4.043
