Object,RA,Dec,SDSS-u,SDSS-u-err,SDSS-g,SDSS-g-err,SDSS-r,SDSS-r-err,SDSS-i,SDSS-i-err,SDSS-z,SDSS-z-err,PS1-g,PS1-g-err,PS1-r,PS1-r-err,PS1-i,PS1-i-err,PS1-z,PS1-z-err,DES-u,DES-u-err,DES-g,DES-g-err,DES-r,DES-r-err,DES-i,DES-i-err,DES-z,DES-z-err,DES-y,DES-y-err
g191b2b,05:05:30.61,+52:49:51.96,11.033,0.016,11.47,0.004,12.007,0.006999999999999999,12.388,0.004,12.74,0.006,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
gd153,12:57:02.34,+22:01:52.68,12.7,0.04,13.022,0.012,13.573,0.011000000000000001,13.95,0.009000000000000001,14.307,0.016,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
gd71,05:52:27.61,+15:53:13.75,12.437999999999999,0.017,12.752,0.001,13.241,0.012,13.610999999999999,0.004,13.972999999999999,0.018000000000000002,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
sdssj010322,01:03:22.201,-00:20:47.800,18.643,0.022000000000000002,19.06,0.011000000000000001,19.509,0.017,19.906,0.032,20.198,0.158,19.093,0.009000000000000001,19.57,0.018000000000000002,19.979,0.018000000000000002,20.13,0.069,-999.0,-999.0,19.103286999999998,0.0024455991,19.631392,0.0032439935,20.005066,0.0059605809,20.288692,0.006278383100000001,20.413,0.048
atlas020.503022,01:22:00.725,-30:52:03.95,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.469011,0.0012176898,18.978994,0.0015973639000000002,19.349195,0.0027148171999999996,19.663263,0.0047322675,19.817999999999998,0.024
sdssj022817,02:28:17.183,-08:27:16.301,19.798,0.040999999999999995,19.769000000000002,0.015,20.15,0.025,20.367,0.042,21.197,0.41,19.837,0.013,20.188,0.055999999999999994,20.523000000000003,0.034,20.803,0.08800000000000001,-999.0,-999.0,19.815931,0.0026199846,20.224056,0.0035251447,20.517965,0.0064306329,20.875118,0.031003362000000003,20.997,0.073
sssj023824,02:38:24.969,-36:02:23.222,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.093466,0.00092519302,18.482457999999998,0.0010800228,18.793016,0.0017176301000000002,19.044378,0.0026556361,19.219,0.012
sdssj024854,02:48:54.965,33:45:48.244,18.105,0.013999999999999999,18.33,0.006999999999999999,18.69,0.009000000000000001,18.921,0.013999999999999999,19.213,0.053,18.351,0.006999999999999999,18.699,0.008,18.972,0.012,19.198,0.033,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
sssj045822,04:58:23.133,-56:37:33.434,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.77,0.001,18.272000000000002,0.001,18.637,0.002,18.939,0.003,19.134,0.015
sssj054114,05:41:14.759,-19:30:38.896,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.28,0.001,18.684,0.001,18.995,0.002,19.261,0.004,19.41,0.015
